Generation= 0, Fitness= 1521.105563893551
Generation= 1, Fitness= 1592.7489160898629
Generation= 2, Fitness= 1739.6225502515433
Generation= 3, Fitness= 1739.6225502515433
Generation= 4, Fitness= 1739.6225502515433
Generation= 5, Fitness= 1964.9000191988594
Generation= 6, Fitness= 1964.9000191988594
Generation= 7, Fitness= 1964.9000191988594
Generation= 8, Fitness= 1964.9000191988594
Generation= 9, Fitness= 1968.2711568083548
Generation= 10, Fitness= 2111.748310055719
Generation= 11, Fitness= 2111.748310055719
Generation= 12, Fitness= 2111.748310055719
Generation= 13, Fitness= 2212.6063267443633
Generation= 14, Fitness= 2329.1311240589594
Generation= 15, Fitness= 2329.1311240589594
Generation= 16, Fitness= 2329.1311240589594
Generation= 17, Fitness= 2329.1311240589594
Generation= 18, Fitness= 2329.1311240589594
Generation= 19, Fitness= 2353.9553693856597
Generation= 20, Fitness= 2353.9553693856597
Generation= 21, Fitness= 2360.3125569256376
Generation= 22, Fitness= 2360.3125569256376
Generation= 23, Fitness= 2360.3125569256376
Generation= 24, Fitness= 2360.3125569256376
Generation= 25, Fitness= 2360.3125569256376
Generation= 26, Fitness= 2367.817710601373
Generation= 27, Fitness= 2373.670544075559
Generation= 28, Fitness= 2411.5492838554896
Generation= 29, Fitness= 2440.5244111585343
Generation= 30, Fitness= 2440.5244111585343
Generation= 31, Fitness= 2447.626048749555
Generation= 32, Fitness= 2447.626048749555
Generation= 33, Fitness= 2453.360226771389
Generation= 34, Fitness= 2453.360226771389
Generation= 35, Fitness= 2479.6106501350164
Generation= 36, Fitness= 2479.6106501350164
Generation= 37, Fitness= 2479.6106501350164
Generation= 38, Fitness= 2497.530296445422
Generation= 39, Fitness= 2497.530296445422
Generation= 40, Fitness= 2497.530296445422
Generation= 41, Fitness= 2503.6455470642254
Generation= 42, Fitness= 2510.6103554890315
Generation= 43, Fitness= 2510.6103554890315
Generation= 44, Fitness= 2510.6103554890315
Generation= 45, Fitness= 2510.6103554890315
Generation= 46, Fitness= 2510.6103554890315
Generation= 47, Fitness= 2510.6416370373613
Generation= 48, Fitness= 2510.6416370373613
Generation= 49, Fitness= 2510.6416370373613
Generation= 50, Fitness= 2513.6928427074954
Generation= 51, Fitness= 2515.0165531896887
Generation= 52, Fitness= 2515.650706657716
Generation= 53, Fitness= 2518.6788886776135
Generation= 54, Fitness= 2526.8492400053524
Generation= 55, Fitness= 2526.8492400053524
Generation= 56, Fitness= 2526.8492400053524
Generation= 57, Fitness= 2526.8492400053524
Generation= 58, Fitness= 2526.8492400053524
Generation= 59, Fitness= 2527.100437113646
Generation= 60, Fitness= 2527.100437113646
Generation= 61, Fitness= 2531.2554437501412
Generation= 62, Fitness= 2534.207468858495
Generation= 63, Fitness= 2534.207468858495
Generation= 64, Fitness= 2534.333308702798
Generation= 65, Fitness= 2536.5912677186398
Generation= 66, Fitness= 2536.5912677186398
Generation= 67, Fitness= 2536.5912677186398
Generation= 68, Fitness= 2538.88333682849
Generation= 69, Fitness= 2538.88333682849
Generation= 70, Fitness= 2538.88333682849
Generation= 71, Fitness= 2539.166170374072
Generation= 72, Fitness= 2539.198749504593
Generation= 73, Fitness= 2543.106315651901
Generation= 74, Fitness= 2543.106315651901
Generation= 75, Fitness= 2543.106315651901
Generation= 76, Fitness= 2543.106315651901
Generation= 77, Fitness= 2550.770763120323
Generation= 78, Fitness= 2550.770763120323
Generation= 79, Fitness= 2550.770763120323
Generation= 80, Fitness= 2559.3056618062833
Generation= 81, Fitness= 2559.3056618062833
Generation= 82, Fitness= 2559.3056618062833
Generation= 83, Fitness= 2560.930780561008
Generation= 84, Fitness= 2564.9332251349224
Generation= 85, Fitness= 2564.9332251349224
Generation= 86, Fitness= 2567.2317334969944
Generation= 87, Fitness= 2569.037173449772
Generation= 88, Fitness= 2569.0936714091345
Generation= 89, Fitness= 2569.0936714091345
Generation= 90, Fitness= 2572.321209228102
Generation= 91, Fitness= 2572.321209228102
Generation= 92, Fitness= 2577.200273535661
Generation= 93, Fitness= 2577.200273535661
Generation= 94, Fitness= 2577.200273535661
Generation= 95, Fitness= 2577.200273535661
Generation= 96, Fitness= 2577.200273535661
Generation= 97, Fitness= 2577.267660626686
Generation= 98, Fitness= 2583.057913319549
Generation= 99, Fitness= 2585.2983999256307
Generation= 100, Fitness= 2585.2983999256307
